scientific_name,description,plant_care
saintpaulia ionanthais,"The African Violet is a popular flowering houseplant from the Saintpaulia genus, originating from Eastern Africa. There are thousands of varieties and hybrids with different flower colors and leaf types. 
The flowers of the African Violet plant resemble violets, but they are not in the same family as a normal violet plant. The African Violet is small and compact, with a diameter ranging from 3 inches to 16 inches. It has soft, furry, and round or oval leaves. 
Growers can propagate the plant from leaf cuttings (the Chimera African Violet propagates from the suckers, rather than leaf cuttings), with a little patience as it often takes several weeks or even months for roots to develop.
The African Violet is non-toxic.

Sources: 
https://www.houseplant411.com/houseplant/african-violet-how-to-grow-care-guide
https://www.houseplantsexpert.com/african-violet-care-information.html","Light: Bright, indirect light. Place at an east-facing window.
Water: Allow the top 1""- 2"" of soil dry out before watering. Do not over water these. Do not water them with very cold water. Remove any excess water at the bottom of the pot tray.
Fertilizer: Fertilize with a balanced fertilizer that is urea-free, or special fertilizer for the African Violet. When the plant is actively growing, feed monthly. Do not over-fertilize as this can cause plant damage or death. 
Temperature: Between 65°-80°F (16°-26.7C) during the day and about 10° cooler at night
Humidity: Prefers high humidity, but easily adapts to your normal household humidity
Soil: Rich, airy, fast-draining potting mixture
Pot: Usually sold in a small 4"" pot. If the plant grows larger, move to the next size pot and nothing larger.
Pruning: Remove any dead leaves, flowers, and stalks as soon as they appear. Remove side shoots (suckers) as soon as they appear. Remove 2-4 leaves from the bottom of the plant each month to encourage new leaf growth at the top of the plant.
Propagation: Propagated by leaf cuttings, placed into a potting mix. (Note: Chimera African Violets propagate only by the suckers.)
Poisonous Plant Info: Non-toxic to cats, dogs, and is safe to have around small children

Sources: 
https://www.houseplant411.com/houseplant/african-violet-how-to-grow-care-guide
https://www.houseplantsexpert.com/african-violet-care-information.html"
agave attenuata,"The Agave plant, a member of the Asparagaceae family, is a succulent that grows well both indoors and outdoors. Some varieties have spines on the edges of their leaves.
The Agave plant originates from Mexico, the Southwest United States, and Central South America. It is related to the Lily and Amaryllis.
The plant is toxic and should be kept away from the reach of small children and pets.

Source: 
https://www.houseplant411.com/houseplant/agave-plant-how-to-grow-care-guide","Light: Bright light. Place at a south- or west-facing window.
Water: The Agave plant is drought-resistant. Do not over-water. Spring and Summer: water when the top few inches of soil are dry; Fall: every 2-3 weeks; Winter: once a month
Fertilizer: Immature plant (younger than 4 years): Spring and Summer, feed monthly with balanced plant foold diluted to 1/2 strength; Fall and Winter: Do not fertilize. Mature plant: Do not fertilize.
Temperature: 65° - 80° F, 18.3° - 26.7 °C
Humidity: Warm, dry airm. Suffers in high humidity.
Soil: Succulent potting soil or any loose, fast-draining indoor potting mix.
Pot: Shallow pot with drip holes. The pot should be a few inches wider than the plant. Move to a larger pot only after the roots have filled the current pot.
Pruning: Prune any dead or dying leaves. Cut the leaf at the soil line. Wear protective clothing and gloves as the sap is very irritating and the leaf edges can be dangerous.
Propagation: Propagate by detaching any offsets (tiny plants growing around the base of the plant) that are several inches tall, into a small pot with drip holes and loose soil. Keep soil barely moist and never soggy.
Poisonous Plant Info: Toxic for dogs, cats, and small children. The leaves contain oxalate crystals that, when ingested, can cause swelling and difficulty breathing. Dermititis can occur when open wounds on the skin comes into contact with the sap.

Source: 
https://www.houseplant411.com/houseplant/agave-plant-how-to-grow-care-guide"
alocasia amazonica,"The Alocasia originates from Asia and Eastern Australia. It is also known as the Elephant Ear or African Mask plant. 
It has large, glossy, heart-shaped leaves with wavy edges, as long as 8-35 inches.
Extremely poisonous, with a lethal level of toxicity, the Alocasia should be kept far away from the reach of children and pets.

Source:
https://www.houseplant411.com/houseplant/alocasia-plant-how-to-grow-care-guide","Light: Very bright, indirect light. No direct sun.
Water: Water when the top 2-3 inches of soil dry out. Water so that all parts of the soil are moistened. Do not over-water as this can cause fungal infections. Water less during the winter.
Fertilizer: Late March - September, feed every two weeks with balanced plant food diluted to 1/2 strength. Do not fertilize during the winter. Too much fertilizer will cause salt buildup that will burn the leaves.
Temperature: 60°-80°F, 15.6°-26.7°C
Humidity: High humidity. Does not like dry heat. To increase humidity, try placing the plant on a tray  of small stones and water, not touching the water. If misting the leaves, watch out for fungal disease caused by wet leaves. 
Soil: Use a well-aerated, fast draining, loose soil. Add peat moss and sand to usual indoor potting soil to get the correct consistency.
Pot: Grows best when root-bound: use a small pot compared to the size of the plant.
Pruning: Quickly remove leaves that develop brown or black spots, lose vibrancy or turn yellow. Damage leaves are usually a sign of fungal disease.
Propagation: Propagate by plant division
Poisonous Plant Info: The Alocasia is extremely poisonous and has a lethal level of toxicity to children, cats, dogs, and other small pets. Eating parts of an alocasia can be be life threatening.

Source:
https://www.houseplant411.com/houseplant/alocasia-plant-how-to-grow-care-guide"
alocasia nebula imperialis,"The Alocasia “Jewel” plant, originates from Asia and is also known as the Alocasia Nebula. It has large, glossy, heart-shaped leaves with wavy edges.  
The Alocasia Jewel is as small as 6″ or as tall as a tree. It requires attentive care with proper watering and high humidity.
Alocasia plants are considered poisonous and should be kept away from pets and children.
Extremely poisonous, with a lethal level of toxicity, the Alocasia should be kept far away from the reach of children and pets.

Source: 
https://www.houseplant411.com/houseplant/alocasia-jewel-alocasia-how-to-grow-care-guide","Light: Very bright, indirect light. No direct sun.
Water: Water when the top 2-3 inches of soil dry out. Water so that all parts of the soil are moistened. Do not over-water as this can cause fungal infections. Water less during the winter.
Fertilizer: Late March - September, feed every two weeks with balanced plant food diluted to 1/2 strength. Do not fertilize during the winter. Too much fertilizer will cause salt buildup that will burn the leaves.
Temperature: 60°-80°F, 15.6°-26.7°C
Humidity: High humidity. Does not like dry heat. To increase humidity, try placing the plant on a tray  of small stones and water, not touching the water. If misting the leaves, watch out for fungal disease caused by wet leaves. 
Soil: Use a well-aerated, fast draining, loose soil. Add peat moss and sand to usual indoor potting soil to get the correct consistency.
Pot: Grows best when root-bound: use a small pot compared to the size of the plant.
Pruning: Quickly remove leaves that develop brown or black spots, lose vibrancy or turn yellow. Damage leaves are usually a sign of fungal disease.
Propagation: Propagate by plant division
Poisonous Plant Info: The Alocasia is extremely poisonous and has a lethal level of toxicity to children, cats, dogs, and other small pets. Eating parts of an alocasia can be be life threatening.

Source: 
https://www.houseplant411.com/houseplant/alocasia-jewel-alocasia-how-to-grow-care-guide"
aloe barbadensis miller,"The Aloe plant is a succulent that is popular as both an indoor houseplant as well as outdoor plant, in warm climates. The most popular indoor variety is the Aloe Vera plant (Aloe barbadensis miller). 
Aloe belongs to the Asphodelaceae (Liliaceae) order related to the flowering lily plant. There are 500+ species of Aloe Vera. It originates from hot and dry regions of Madagascar, the Arabian Peninsula, Southern Europe, North Africa, and the Canary Islands.
Although the Aloe Vera sap is used to treat burns, the other parts of the plant are poisonous.

Source: 
https://www.houseplant411.com/houseplant/aloe-vera-plant-how-to-grow-care-guide","Light: Indoors: Bright indirect light. Avoid direct light. Outdoors: can adapt to direct sun.
Water: Water well and allow the soil to completely dry out before watering again, which can be every 2-3 weeks and even less during winter. Do not over-water.
Fertilizer: Feed monthly with a 10/40/10 plant food diluted to 1/2 strength.
Temperature: Likes dry, warm temperatures between 65°-85°F (18°-29° C).
Humidity: Needs very little humidity as the plant is native to deserts.
Soil: Grows well in any soil, but a well-aerated, quick-draining soil with some sand is best.
Pot: Small pot with drip holes to prevent root-rot.
Pruning: Rarely needed.
Propagation: Propagate using offsets or suckers.
Poisonous Plant Info: Aloe Vera sap is often used to treat burns, but the other parts are poisonous.

Source: 
https://www.houseplant411.com/houseplant/aloe-vera-plant-how-to-grow-care-guide"
hippeastrum,"The Amaryllis Hippeastrum are bulb flowering type plant. They produce a cluster of attractive trumpet like flowers in different color variation.
There is some confusion between the Hippeastrum and the Amaryllis when both are actually a separate genus, with very similar names. 
The Amaryllis talked about here are Actually hippeastrum bulbous plants with the common name of Amaryllis. The Amaryllis of the Amaryllis genus is the Amaryllis Belladona that is known by its common name, the Belladona Lily.
The Amaryllis Hippeastrum blooms 3-6 flowers and produces leaves after flowering and has hollow stems. The Belladona Lily has blloms 6-12 flowers and produces no leaves.
It is poisonous and should be kept from the reach of small children and pets. The Amaryllis Hippeastrum sap can cause irritation to skin and open wounds. Ingestion can cause nausea, vomiting, and diarrhea.

Source: 
https://www.houseplantsexpert.com/hippeastrum-amaryllis.html","Light: Bright light without too much direct sunlight.
Water: Growing and Flowering period: Water when the top inch of the soil becomes dry; Dormant Period: Once the leaves are cut away, stop watering or water sparingly for 8-10 weeks until new blooms appear.
Fertilizer: After the Dormant Period (Nov-Dec): Once leaf shoots appear, feed with liquid fertilizer every 2 weeks.
Temperature: Growing Period (Winter-Spring): 70°-75°F, 21°-24°C; September - early December: 55°F, 13°C. After the plant flowers: 70°-75°F, 21 - 24°C
Humidity: Average room humidity (around 40% relative humidity).
Soil: Equal parts perlite and peat or two parts loam soil and one part perlite.
Pot: Use a pot 2 inches wider on each side of the bulb. Re-pot just before the dormant period (Nov-Dec) if the bulb seems to have outgrown the pot, about every 2 years.
Pruning: Prune flowers, stems, and leaves once they have wilted, 
Propagation: Propagate by seed (may take up to 5 years to mature and flower) or bulb offsets (may take up to 3 years).
Poisonous Plant Info: Poisonous to dogs, cats, humans. Ingestion, particularly of the bulb, may cause nausea, vomiting and diarrhea. The sap may cause skin irritation in sensitive individuals.

Source: 
https://www.houseplantsexpert.com/hippeastrum-amaryllis.html"
amaryllis belladonna,"The Belladonna Lily, produces beautiful trumplet-shaped blooms. It is of the Amaryllis genus, and is also known as the naked lady because the species has no leaves during flowering. The Belladonna Lily produces 6-12 flowers and has solid stems.
It is often confused with the Amaryllis Hippeastrum due to the Hippeastrum's common name, ""Amaryllis"". However, the two flowers are of separate genus.
It is toxic and should be kept from the reach of small children and pets.

Source:
https://www.houseplantsexpert.com/growing-belladonna-lily-plants-indoors.html","Light: Bright, direct sunlight. Place near a south-facing window.
Water: Growing and Flowering Period: Keep the soil moist but not soaked; Rest Period: Water only after stalks appear.
Fertilizer: Growing and Flowering Period: Once leaves appear, use a diluted liquid fertilizer; Rest Period: Do not feed.
Temperature: 65°-75°F, 18°-24°C
Humidity: Average room humidity (around 40% relative humidity).
Soil: Equal parts perlite and peat or two parts loam soil and one part perlite.
Pot: Pot in a large pot with plenty of room for the plant's roots. Re-pot once every 2 -3 years
Pruning: Rest Period: Prune stalks once flowering is over. Remove dead foliage once the bulb is dormant.
Propagation: Propagated by seed, bulb offsets or rhizomes.
Poisonous Plant Info: Toxic to dogs and cats.

Sources: 
https://www.houseplantsexpert.com/growing-belladonna-lily-plants-indoors.html"
anthurium,"The Arthurium is a flowering plant with long-lasting, waxy, heart-shaped ""flowers"" with a curly, orange spadix. The ""flower"" is actualy a modified leaf called a ""spathe"". 
The Arthurium is exotic looking and comes in a variety of vibrant colors and some new varieties that are bi-colored. 
The plant blooms for a few months and then rests for a few months. It's max height is 12-18 inches.
Anthurium plants originate from parts of the Caribbean and from Northern Mexico to Northern Argentina.
It is very toxic for small children, dogs, cats and other pets. Keep far out of reach of small children and pets.

Sources:
https://www.houseplantsexpert.com/flamingo-flower.html
https://www.houseplant411.com/houseplant/anthurium-plant-how-to-grow-care-guide","Light: Lots of bright, indirect light. No direct sunlight.
Water: Keep soil continuously moist, especially during the summer. Water every couple of days and less in winter.
Fertilizer: Feed with a balanced fertilizer or one slightly high in nitrogen, diluted to 1/3-1/4 sterngth. Spring and Summer: feed monthly when the plant is actively growing.
Temperature: 65°-75°F, 18.3°-23.8°C
Humidity: Thrives in high humidity. Regularly mist with a ligth spray of lukewarm water.
Soil: Use a good draining soil such as a peat mossed based potting soil or perlite.
Pot: Likes to be root-bound. 4"", 6"", 8"" pots are usually best. Re-pot when the plant is pot-bound, usually every 2 years.
Pruning: Prune faded flowers and leaves as soon as they appear.
Propagation: Propagate by plant division when temperatures are above 75°F/23.8°C.
Poisonous Plant Info: Very toxic for small children, dogs, cats and other pets. Keep far out of reach of small children and pets.

Sources:
https://www.houseplantsexpert.com/flamingo-flower.html
https://www.houseplant411.com/houseplant/anthurium-plant-how-to-grow-care-guide"
polyscias aralia,"The Aralia, Polyscias, is a very large group of plants that make suitable large indoor plants for the home or office when pruned carefully to control their growth.
The Aralia originates from the mountain forest regions of Asia and the Americas.
It is toxic and ingestion can cause gastrointestinal distress. Keep out of reach of small children and pets.

Source: 
https://www.houseplant411.com/houseplant/aralia-how-to-grow-care-guide","Light: Can survive in low light; Grows faster in medium to bright, indirect light.
Water: Do not over-water, rot will form. Allow the top 50% of the soil to dry out before watering.
Fertilizer: Requires very little fertilizer. Feed every other month while actively growing with plant food that is high in nitrogen, diluted to 1/2 strength.
Temperature: 60°-85° F, 15.6°-29.4°C
Humidity: Thrives in high humidity. Dry air can lead to loss of leaves.
Soil: Use a well-aerated, peat-based, light potting mix.
Pot: The Aralia thrives in humidity and by being root-bound. Pot in smaller pots, on a pebble tray with water beneath, for humidity. Do not let the pot touch the water.
Pruning: Trim the tips promotes new root growth.
Propagation: Propagate by stem cuttings or, if the stems are thich, air layering. Propagation is more successful at temperatures above 70° F.
Poisonous Plant Info: The Aralia plant is toxic. All parts contain saponins which may cause gastrointestinal irritation, nausea, vomiting, and diarrhea. Keep out of reach of small children and pets.

Source: 
https://www.houseplant411.com/houseplant/aralia-how-to-grow-care-guide"
polyscias scutellaria,"An evergreen plant native to Africa, Asia, Australia, and the Americas, the Balfour Aralia's distinct leathery, round leaves resemble a dinner plate about 1″- 2″ in diameter, giving the plant its nickname, the ""Dinner Plate"" Aralia. The leaves range in color from light to dark green, with some varieties having cream variagated leaves. 
Aralias are easy to over-water, which results in root rot and leaf loss, and therefore are not beginner-friendly houseplants.
It is poisonous and should be kept out of reach of small children and pets.

Source: 
https://www.houseplant411.com/houseplant/balfour-aralia-how-to-grow-care-guide","Light: Can survive in low light without over-watering. Does best in bright, indirect light.
Water: Aralias have very fine roots and are easily over-watered. Allow the top 50% of the soil to dry out before watering. During the resting period in winter, needs less water. In low-light settings, needs watering only once a month.
Fertilizer: Feed every other month with plant food that is high in nitrogen, diluted to 1/2 strength.
Temperature: 60°-80°F, 15.6°C-26.7°C
Humidity: Does well in high humidity. Low humidity causes leaf loss.
Soil: Use a well-aerated, quick-draining, peat-based light soil.
Pot: Keep in small pots so that the soil dries out quickly.
Pruning: Prune the tips to keep the plant full.
Propagation: Propagate by stem cuttings or air layering. Propagating is more successful at temperatures above 70°F.
Poisonous Plant Info: Toxic: all parts contain saponins, which cause gastrointestinal irritation, nausea, vomiting, and diarrhea. Keep out of reach of small children and pets.

Source: 
https://www.houseplant411.com/houseplant/balfour-aralia-how-to-grow-care-guide"
