name,scientific_name
african violet,saintpaulia ionanthais
agave plant,agave attenuata
alocasia,alocasia amazonica
jewel alocasia,alocasia nebula imperialis
aloe vera,aloe barbadensis miller
amaryllis,hippeastrum
belladona lily,amaryllis belladonna
angel wing begonia,begonia coccinea
angel leaf begonia,begonia coccinea
spotted begonia,begonia coccinea
spotted angel wing begonia,begonia coccinea
angel begonia,begonia coccinea
dragon wing begonia,begonia coccinea
flamingo flower,anthurium
flamingo plant,anthurium
laceleaf,anthurium
boy flower,anthurium
aralia,polyscias aralia
balfour,polyscias scutellaria
dinner plate plant,polyscias scutellaria
aralia fabian,polyscias scutellaria
shield aralia,polyscias scutellaria
areca palm,dypsis lutescens
butterfly palm,dypsis lutescens
arrowhead,syngonium podophyllum
asparagus fern,asparagus aethiopicus
azalea,rhododendron
baby’s tears,helxine soleirolii
bamboo palm,chamaedorea seifrizii
barberton daisy,gebera jamesonii
gebera daisy,gebera jamesonii
beach spider lily,hymenocallis littoralis
begonia,begonia coccinea
begonia rex,begoniaceae
bird of paradise,strelitzia reginae
bird’s nest fern,asplenium nidus
bleeding heart,clerodendrum
blushing bromeliad,neoregelia carolinae
boston fern,nephrolepis exaltata
paper flower plant,bougainvillea
busy lizzie,impatiens walleriana
urn plant,aechmea fasciata
silver vase,aechmea fasciata
guzmania rana,bromeliaceae
cactus,cereus peruvianus monstrosis
elephant ear plant,caladium
peacock plant,calathea roseopicta
striped calathea,"calathea ornata lineata"
calla lily,zantedeschia aethiopica
trumpet lily,zantedeschia aethiopica
cast iron plant,aspidistra elatior
iron plant,aspidistra elatior
ballroom plant,aspidistra elatior
cat palm,"chamaedorea cataractarum"
cascade palm,"chamaedorea cataractarum"
cataract palm,"chamaedorea cataractarum"
china doll,radermachera sinica
chinese evergreen,aglaonema
christmas cactus,schlumbergera bridgesii
zygocactus,schlumbergera bridgesii
mum,chrysanthemum
cineraria,pericallis cruenta
kaffir lily,"clivia miniata"
coffee plant,coffea arabica
arboricola,schefflera arboricola
hawaiian schefflera,schefflera arboricola
maiden hair fern,adiantum raddianum
majesty palm,ravenea rivularis
marble queen pothos,epipremnum aureum
devil's ivy,epipremnum aureum
medusa's head plant,tillandsia caput medusae
sensitive plant,mimosa pudica
moses in the cradle,tradescantia spathacea
oyster plant,tradescantia spathacea
natal mahogany,trichilia emetica
norfolk pine,araucaria heterophylla
orchid,cymbidium orchidaceae
boat orchid,cymbidium orchidaceae
moth orchid,orchidaceae
phalaenopsis,orchidaceae
one colored paphiopedilum concolor,paphiopedilum concolor
one colored paphiopedilum,paphiopedilum concolor
pin stripe calathea,calathea ornata
japanese yew,podocarpus macrophyllus
podocarpus,podocarpus macrophyllus
buddhist pine,podocarpus macrophyllus
poinsettia,euphorbiaceae pulcherrima
poison primrose,primula obconica
polka dot plant,hypoestes phyllostachya
ponytail palm,beaucarnea recurvata
bottle palm,beaucarnea recurvata
pothos,epipremnum aureum
prayer plant,maranta leuconeura
purple velvet plant,gynura aurantiaca
purple passion plant,gynura aurantiaca
purple waffle plant,hemigraphis alternata
metal leaf plant,hemigraphis alternata
waffle plant,hemigraphis alternata
red flame ivy,hemigraphis alternata
red ivy,hemigraphis alternata
dwarf pygmy date palm,phoenix roebelenii
queens tears,billbergia nutans
friendship plant,billbergia nutans
rabbit’s foot fern,davillia fejeensis
rattlesnake plant,calathea lancifolia
lady palm,rhapis excelsa
rhapis palm,rhapis excelsa
miniature rose bush,rosa chinensis minima
rose painted calathea,calathea roseopicta
sago palm,cycas revoluta palm
cycad,cycas revoluta palm
scarlet star,guzmania lingulata
slipper orchid,paphiopedilum
snake plant,sansevieria trifasciata
mother-in-law's tongue,sansevieria trifasciata
bowstring hemp,sansevieria trifasciata
devil's tongue,sansevieria trifasciata
umbrella plant,schefflera actinophylla
schefflera plant,schefflera actinophylla
spike moss,lycopodioides
arbor vitae,lycopodioides
selaginella,lycopodioides
clover plant,oxalis
shamrock plant,oxalis
false shamrock,oxalis
spider plant,chlorophytum comosum
airplaine plant,chlorophytum comosum
split leaf philodendron,philodendron bipinnatifidum
lacy tree philodendron,philodendron bipinnatifidum
horsehead philodendron,philodendron bipinnatifidum
staghorn fern,platycerium
strawberry begonia,saxifraga stolonifera
strawberry geranium,saxifraga stolonifera
stromanthe plant,stromanthe sanguinea
creeping charlie,plectranthus australis
swedish ivy,plectranthus australis
wandering jew,tradescantia
inch plant,tradescantia
spider wort,tradescantia
watermelon peperomia,peperomia argyreia
winter cherry,solanum capsicastrum
jerusalem cherry,solanum capsicastrum
yucca,yucca elephantipes
zz plant,zamioculcas zamiifolia
eternity plant,zamioculcas zamiifolia
emerald palm,zamioculcas zamiifolia
zanzibar gem,zamioculcas zamiifolia
zuzu plant,zamioculcas zamiifolia
aroid palm,zamioculcas zamiifolia
zebra plant,aphelandra squarrosa
